transcription,phoneme_sentence,audio_path
nuair a bhíonn tréith feinitíopach ar leith i bpáirt ag gach duine i ndaonra áirithe tugtar daonra monómorfach orthu,ˈn̻ˠuːɾʲ|ə|ˈvʲiːn̻ˠ|ˈtʲɾʲeː|[UNK]|ˈeɾʲ|ˈl̻ʲehʲ|ˈi|bˠaːɾˠtʲ|ˈeɟ|ˈɡah|ˈd̪ˠinʲə|ˈi|n̻ˠiːn̻ˠɾˠə|ˈaːɾʲihʲə|t̪ˠuɡt̪ˠəɾˠ|ˈd̪ˠiːn̻ˠɾˠə|[UNK]|ˈoɾˠhu,train/10009174761044778838.wav
250 bliain ina dhiadh tá guinness fásta ina ghnó domhanda a mbaineann láimhdeachas bliantúil 10 mbilliún euro us$14.7 billiún leis,[UNK]|ˈbʲlʲianʲ|ˈin̻ˠə|[UNK]|ˈt̪ˠaː|[UNK]|ˈfˠaːsˠt̪ˠə|ˈin̻ˠə|ɣn̻ˠoː|ˈd̪ˠaun̻ˠd̪ˠə|ə|ˈmˠanʲən̻ˠ|ˈl̻ˠaːvʲˈdʲahəsˠ|ˈbʲlʲian̻ˠt̪ˠulʲ|[UNK]|mʲil̻ʲuːn̻ˠ|ˈjuːɾˠoː|[UNK]|ˈbʲilʲun̻ˠ|ˈlʲiʃ,train/10011062099947436666.wav
sa tuarascáil mhíosúil is déanaí dúirt opec go raibh easpórtálacha amhola ag titim go dtí an leibhéal is ísle le scór bliain sé sin 2.8 milliún bairille in aghaidh an lae,ˈsˠə|ˈt̪ˠuaɾˠəsˠkalʲ|vʲiːsˠulʲ|ˈisˠ|ˈdʲeːn̻ˠiː|ˈd̪ˠuːɾʲtʲ|[UNK]|ˈɡə|ˈɾˠoːvˠ|asˠpˠoːɾˠt̪ˠaːl̻ˠahə|ˈavˠol̻ˠa|ˈeɟ|ˈtʲitʲəmʲ|ˈɡə|ˈdʲiː|ˈən̻ˠ|ˈl̻ʲevʲel̻ˠ|ˈisˠ|ˈiːʃlʲə|ˈlʲe|ˈsˠkoːɾˠ|ˈbʲlʲianʲ|ˈʃeː|ˈʃinʲ|[UNK]|ˈmʲil̻ʲun̻ˠ|ˈbˠaɾʲl̻ʲə|ˈinʲ|ˈeːj|ˈən̻ˠ|ˈl̻ˠeː,train/10011703409297587839.wav
ba iad na tráchtanna a rinneadh beo ar an teilifís an chéad uair a d'admhaigh foinsí sinsearacha ón iaráin go raibh aon éifeacht ag na smachtbhannaí,ˈbˠə|ˈiad̪ˠ|ˈn̻ˠə|t̪ˠɾˠaːɾˠt̪ˠən̻ˠə|ə|ˈɾˠin̻ʲuː|ˈbʲoː|ˈeɾʲ|ˈən̻ˠ|ˈtʲelʲəfʲiʃ|ˈən̻ˠ|ˈçeːd̪ˠ|ˈuaɾʲ|ə|d̪ˠad̪ˠvˠiː|ˈfˠoˈinʲˈʃiː|ʃinʲʃəɾˠahə|ˈoːn̻ˠ|[UNK]|ˈɡə|ˈɾˠoːvˠ|ˈeːn̻ˠ|ˈeːfʲaxt̪ˠ|ˈeɟ|ˈn̻ˠə|sˠmˠaɾˠt̪ˠvˠən̻ˠiː,train/10012130565025110261.wav
tá rith meánraoin ina spórt measartha saor tá áfach neart míthuiscintí ann i dtaca leis an chúpla píosa trealaimh atá tá de dhíth le páirt a ghlacadh ann,ˈt̪ˠaː|ˈɾˠihʲ|ˈmʲaːn̻ˠˈɾˠiːnʲ|ˈin̻ˠə|ˈsˠpˠoːɾˠt̪ˠ|ˈmʲasˠəɾˠhə|ˈsˠiːɾˠ|ˈt̪ˠaː|ˈaːfˠah|ˈnʲaɾˠt̪ˠ|mʲiːhʲəʃcinʲtʲiː|ˈən̻ˠ|ˈi|ˈd̪ˠakə|ˈlʲiʃ|ˈən̻ˠ|ˈxuːpˠl̻ˠə|ˈpʲiːsˠə|tʲɾʲal̻ˠəvʲ|əˈt̪ˠaː|ˈt̪ˠaː|ˈd̪ˠe|ˈjiːh|ˈlʲe|ˈpˠaːɾˠtʲ|ə|ˈɣl̻ˠakuː|ˈən̻ˠ,train/10014922500849696344.wav
sna laethanta tosaigh i neamhspleáchas an náisiúin chuidigh saineolaíocht ghairdíní na lus shingeapór leis an oileán a chlaochlú ina chathair ghairdíneach thrópaiceach,ˈsˠn̻ˠə|ˈl̻ˠeːhən̻ˠt̪ˠə|ˈt̪ˠosˠiː|ˈi|ˈnʲauˈsˠpʲlʲaːhəsˠ|ˈən̻ˠ|n̻ˠaːʃuːnʲ|ˈxidʲiː|ˈsˠanʲˌoːl̻ˠiːaxt̪ˠ|[UNK]|ˈn̻ˠə|ˈl̻ˠusˠ|[UNK]|ˈlʲiʃ|ˈən̻ˠ|ˈolʲan̻ˠ|ə|xl̻ˠiːhl̻ˠuː|ˈin̻ˠə|ˈxahəɾʲ|[UNK]|ɾ̥ˠoːpˠəcah,train/10033330998642146420.wav
dúirt captaen na seirbhísí dóiteáin scott kouns lá te a bhí ann in santa clara agus bhí an teocht sna 90idí,ˈd̪ˠuːɾʲtʲ|ˈkapˠt̪ˠen̻ˠ|ˈn̻ˠə|ˈʃeɾʲəvʲiːʃiː|ˈd̪ˠoːˈitʲaːnʲ|[UNK]|[UNK]|ˈl̻ˠaː|ˈtʲe|ə|ˈvʲiː|ˈən̻ˠ|ˈinʲ|[UNK]|[UNK]|ˈəɡəsˠ|ˈvʲiː|ˈən̻ˠ|ˈtʲoːɾˠt̪ˠ|ˈsˠn̻ˠə|[UNK],train/10037450065752560640.wav
i measc éachtaí vautier lasmuigh den stiúradh tá stailc ocrais i 1973 i gcoinne cinsireacht pholaitiúil mar a b'fhacthas dó é,ˈi|ˈmʲasˠk|eːɾˠt̪ˠiː|[UNK]|ˈl̻ˠasˠmˠiː|ˈdʲənʲ|ˈʃtʲuːɾˠuː|ˈt̪ˠaː|ˈsˠt̪ˠalʲc|okɾˠəʃ|ˈi|[UNK]|ˈi|ˈɡon̻ʲə|ˈcin̻ʲʃəɾʲaxt̪ˠ|ˈfˠol̻ˠətʲulʲ|mˠaɾˠ|ə|[UNK]|ˈd̪ˠoː|ˈeː,train/10042371251328490804.wav
ba é tuairim pittman nach dtiocfadh feabhas ar dhálaí go dtí am éigin an tseachtain seo chugainn,ˈbˠə|ˈeː|ˈt̪ˠuaɾʲimʲ|[UNK]|ˈn̻ˠah|ˈdʲokuː|ˈfʲausˠ|ˈeɾʲ|ɣaːl̻ˠiː|ˈɡə|ˈdʲiː|ˈamˠ|ˈeːɟənʲ|ˈən̻ˠ|tʲaɾˠt̪ˠənʲ|ˈʃo|ˈhuɡən̻ʲ,train/10042953992084762134.wav
d'fhéadfadh uisce a tháinig isteach san aer ón ngaoth agus ó thonnta tionchar a bheith aige ar dhuine tríd é análú,ˈd̪ˠeːd̪ˠuː|ˈiʃcə|ə|ˈhaːnʲəɟ|iʃˈtʲah|sˠən̻ˠ|ˈeːɾˠ|ˈoːn̻ˠ|ŋiːh|ˈəɡəsˠ|ˈoː|hon̻ˠt̪ˠə|ˈtʲon̻ˠəhəɾˠ|ə|ˈvʲehʲ|ˈeɟə|ˈeɾʲ|ˈɣinʲə|ˈtʲɾʲiːdʲ|ˈeː|ˈan̻ˠal̻ˠuː,train/10050763424369857918.wav
deir lodin fosta gur chinn oifigigh an toghcháin réitigh a chur ar ceall chun na hafganastánaigh a shábháil ón chostas agus ón riosca slándála a bhain le toghchán eile,ˈdʲeɾʲ|[UNK]|ˈfˠosˠt̪ˠə|ˈɡəɾˠ|ˈçin̻ʲ|ofʲiɟiː|ˈən̻ˠ|ˈt̪ˠauhan̻ʲ|ˈɾˠeːtʲiː|ə|ˈxuɾˠ|ˈeɾʲ|cal̻ˠ|ˈxun̻ˠ|ˈn̻ˠə|[UNK]|ə|haːvˠalʲ|ˈoːn̻ˠ|xasˠt̪ˠəsˠ|ˈəɡəsˠ|ˈoːn̻ˠ|ˈɾˠisˠkə|ˈsˠl̻ˠaːn̻ˠd̪ˠaːl̻ˠə|ə|ˈvˠinʲ|ˈlʲe|ˈt̪ˠauhan̻ˠ|ˈelʲə,train/10051862251341758395.wav
"tá os cionn 5,000 teanga ar domhan lena n-áirítear os cionn fiche atá á labhairt ag 50 milliún cainteoir nó os a chionn",ˈt̪ˠaː|ˈosˠ|ˈcun̻ˠ|[UNK]|ˈtʲaŋə|ˈeɾʲ|ˈd̪ˠaun̻ˠ|ˈlʲen̻ˠə|[UNK]|ˈosˠ|ˈcun̻ˠ|ˈfʲiçə|əˈt̪ˠaː|aː|ˈl̻ˠoːɾʲtʲ|ˈeɟ|[UNK]|ˈmʲil̻ʲun̻ˠ|ˈkan̻ʲtʲoɾʲ|ˈn̻ˠoː|ˈosˠ|ə|çin̻ˠ,train/10054671133756382628.wav
chomh fada agus is eol dúinn níl ach rinn phláinéadach amháin eile a thaispeánann níos mó dinimicis ná titan agus is domhan an t-ainm atá uirthi a dúirt stofan,ˈxoː|ˈfˠad̪ˠə|ˈəɡəsˠ|ˈisˠ|ˈoːl̻ˠ|ˈd̪ˠuːn̻ʲ|ˈn̻ʲiːlʲ|ˈah|[UNK]|[UNK]|əˈvˠaːnʲ|ˈelʲə|ə|haʃpʲaːn̻ˠən̻ˠ|ˈnʲiːsˠ|ˈmˠoː|dʲinʲimʲiciʃ|ˈn̻ˠaː|[UNK]|ˈəɡəsˠ|ˈisˠ|ˈd̪ˠaun̻ˠ|ˈən̻ˠ|ˈt̪ˠanʲəmʲ|əˈt̪ˠaː|ˈaɾˠhʲiː|ə|ˈd̪ˠuːɾʲtʲ|[UNK],train/10054798541613385079.wav
