id,num_samples,path,transcription,raw_transcription,gender,lang_id,language,lang_group_id,phonetic
571,172800,/home/peter/.cache/huggingface/datasets/downloads/extracted/cf2f05dbc6d7c83a2ca5f3625f601bff35293b374f8cbe9c8d98e3829f3a201b/10009174761044778838.wav,nuair a bhíonn tréith feinitíopach ar leith i bpáirt ag gach duine i ndaonra áirithe tugtar daonra monómorfach orthu,"Nuair a bhíonn tréith feinitíopach ar leith i bpáirt ag gach duine i ndaonra áirithe, tugtar daonra monómorfach orthu.",0,27,Irish,0,n̻ˠ uː ɾʲ ə vʲ iː n̻ˠ tʲ ɾʲ eː fʲ ɛ ʧ iː pˠ a x e ɾʲ l̻ʲ e hʲ i bˠ aː ɾˠ tʲ e ɟ ɡ a h d̪ˠ i nʲ ə i n̻ˠ iː n̻ˠ ɾˠ ə aː ɾʲ i hʲ ə t̪ˠ u ɡ t̪ˠ ə ɾˠ d̪ˠ iː n̻ˠ ɾˠ ə mˠ ʌ ɾˠ oː mˠ ɾ̥ˠ iː a x o ɾˠ h u
47,317760,/home/peter/.cache/huggingface/datasets/downloads/extracted/cf2f05dbc6d7c83a2ca5f3625f601bff35293b374f8cbe9c8d98e3829f3a201b/10011062099947436666.wav,250 bliain ina dhiadh tá guinness fásta ina ghnó domhanda a mbaineann láimhdeachas bliantúil 10 mbilliún euro us$14.7 billiún leis,"250 bliain ina dhiadh, tá Guinness fásta ina ghnó domhanda a mbaineann láimhdeachas bliantúil 10 mbilliún euro (US$14.7 billiún) leis.",0,27,Irish,0,[UNK] bʲ lʲ ia nʲ i n̻ˠ ə j ʉː t̪ˠ aː ɡ ɪ n̠ʲ ə sˠ sˠ fˠ aː sˠ t̪ˠ ə i n̻ˠ ə ɣ n̻ˠ oː d̪ˠ au n̻ˠ d̪ˠ ə ə mˠ a nʲ ə n̻ˠ l̻ˠ aː vʲ dʲ a h ə sˠ bʲ lʲ ia n̻ˠ t̪ˠ u lʲ [UNK] mʲ i l̻ʲ uː n̻ˠ j uː ɾˠ oː [UNK] bʲ i lʲ u n̻ˠ lʲ i ʃ
106,230400,/home/peter/.cache/huggingface/datasets/downloads/extracted/cf2f05dbc6d7c83a2ca5f3625f601bff35293b374f8cbe9c8d98e3829f3a201b/10011703409297587839.wav,sa tuarascáil mhíosúil is déanaí dúirt opec go raibh easpórtálacha amhola ag titim go dtí an leibhéal is ísle le scór bliain sé sin 2.8 milliún bairille in aghaidh an lae,"Sa tuarascáil mhíosúil is déanaí, dúirt OPEC go raibh easpórtálacha amhola ag titim go dtí an leibhéal is ísle le scór bliain, sé sin 2.8 milliún bairille in aghaidh an lae.",0,27,Irish,0,sˠ ə t̪ˠ ua ɾˠ ə sˠ k a lʲ vʲ iː sˠ u lʲ i sˠ dʲ eː n̻ˠ iː d̪ˠ uː ɾʲ tʲ ʌ pˠ k ɡ ə ɾˠ oː vˠ a sˠ pˠ oː ɾˠ t̪ˠ aː l̻ˠ a h ə a vˠ o l̻ˠ a e ɟ tʲ i tʲ ə mʲ ɡ ə dʲ iː ə n̻ˠ l̻ʲ e vʲ e l̻ˠ i sˠ iː ʃ lʲ ə lʲ e sˠ k oː ɾˠ bʲ lʲ ia nʲ ʃ eː ʃ i nʲ [UNK] mʲ i l̻ʲ u n̻ˠ bˠ a ɾʲ l̻ʲ ə i nʲ eː j ə n̻ˠ l̻ˠ eː
104,192960,/home/peter/.cache/huggingface/datasets/downloads/extracted/cf2f05dbc6d7c83a2ca5f3625f601bff35293b374f8cbe9c8d98e3829f3a201b/10012130565025110261.wav,ba iad na tráchtanna a rinneadh beo ar an teilifís an chéad uair a d'admhaigh foinsí sinsearacha ón iaráin go raibh aon éifeacht ag na smachtbhannaí,"Ba iad na tráchtanna, a rinneadh beo ar an teilifís, an chéad uair a d’admhaigh foinsí sinsearacha ón Iaráin go raibh aon éifeacht ag na smachtbhannaí.",0,27,Irish,0,bˠ ə ia d̪ˠ n̻ˠ ə t̪ˠ ɾˠ aː ɾˠ t̪ˠ ə n̻ˠ ə ə ɾˠ i n̻ʲ uː bʲ oː e ɾʲ ə n̻ˠ tʲ e lʲ ə fʲ i ʃ ə n̻ˠ ç eː d̪ˠ ua ɾʲ ə d̪ˠ a d̪ˠ vˠ iː fˠ o i nʲ ʃ iː ʃ i nʲ ʃ ə ɾˠ a h ə oː n̻ˠ ɾ̥ˠ æː n̠ʲ ɡ ə ɾˠ oː vˠ eː n̻ˠ eː fʲ a x t̪ˠ e ɟ n̻ˠ ə sˠ mˠ a ɾˠ t̪ˠ vˠ ə n̻ˠ iː
554,267840,/home/peter/.cache/huggingface/datasets/downloads/extracted/cf2f05dbc6d7c83a2ca5f3625f601bff35293b374f8cbe9c8d98e3829f3a201b/10014922500849696344.wav,tá rith meánraoin ina spórt measartha saor tá áfach neart míthuiscintí ann i dtaca leis an chúpla píosa trealaimh atá tá de dhíth le páirt a ghlacadh ann,"Tá rith meánraoin ina spórt measartha saor; tá, áfach, neart míthuiscintí ann i dtaca leis an chúpla píosa trealaimh atá tá de dhíth le páirt a ghlacadh ann.",1,27,Irish,0,t̪ˠ aː ɾˠ i hʲ mʲ aː n̻ˠ ɾˠ iː nʲ i n̻ˠ ə sˠ pˠ oː ɾˠ t̪ˠ mʲ a sˠ ə ɾˠ h ə sˠ iː ɾˠ t̪ˠ aː aː fˠ a h nʲ a ɾˠ t̪ˠ mʲ iː hʲ ə ʃ c i nʲ tʲ iː ə n̻ˠ i d̪ˠ a k ə lʲ i ʃ ə n̻ˠ x uː pˠ l̻ˠ ə pʲ iː sˠ ə tʲ ɾʲ a l̻ˠ ə vʲ ə t̪ˠ aː t̪ˠ aː d̪ˠ e j iː h lʲ e pˠ aː ɾˠ tʲ ə ɣ l̻ˠ a k uː ə n̻ˠ
447,281280,/home/peter/.cache/huggingface/datasets/downloads/extracted/cf2f05dbc6d7c83a2ca5f3625f601bff35293b374f8cbe9c8d98e3829f3a201b/10033330998642146420.wav,sna laethanta tosaigh i neamhspleáchas an náisiúin chuidigh saineolaíocht ghairdíní na lus shingeapór leis an oileán a chlaochlú ina chathair ghairdíneach thrópaiceach,"Sna laethanta tosaigh i neamhspleáchas an náisiúin, chuidigh saineolaíocht Ghairdíní na Lus Shingeapór leis an oileán a chlaochlú ina Chathair Ghairdíneach thrópaiceach.",0,27,Irish,0,sˠ n̻ˠ ə l̻ˠ eː h ə n̻ˠ t̪ˠ ə t̪ˠ o sˠ iː i nʲ au sˠ pʲ lʲ aː h ə sˠ ə n̻ˠ n̻ˠ aː ʃ uː nʲ x i dʲ iː sˠ a nʲ oː l̻ˠ iː a x t̪ˠ ɣ æː ɾˠ ʤ ɪ n̠ʲ iː n̻ˠ ə l̻ˠ u sˠ ɲ a pˠ oː ɾˠ lʲ i ʃ ə n̻ˠ o lʲ a n̻ˠ ə x l̻ˠ iː h l̻ˠ uː i n̻ˠ ə x a h ə ɾʲ ɣ æː ɾˠ ʤ ɪ n̠ʲ a x ɾ̥ˠ oː pˠ ə c a h
192,189120,/home/peter/.cache/huggingface/datasets/downloads/extracted/cf2f05dbc6d7c83a2ca5f3625f601bff35293b374f8cbe9c8d98e3829f3a201b/10037450065752560640.wav,dúirt captaen na seirbhísí dóiteáin scott kouns lá te a bhí ann in santa clara agus bhí an teocht sna 90idí,"Dúirt captaen na seirbhísí dóiteáin Scott Kouns, ""Lá te a bhí ann in Santa Clara agus bhí an teocht sna 90idí.",0,27,Irish,0,d̪ˠ uː ɾʲ tʲ k a pˠ t̪ˠ e n̻ˠ n̻ˠ ə ʃ e ɾʲ ə vʲ iː ʃ iː d̪ˠ oː i tʲ aː nʲ sˠ k ʌ ʧ ʧ [UNK] l̻ˠ aː tʲ e ə vʲ iː ə n̻ˠ i nʲ sˠ n̪ˠ t̪ˠ ə k l̪ˠ a ɾˠ ə ə ɡ ə sˠ vʲ iː ə n̻ˠ tʲ oː ɾˠ t̪ˠ sˠ n̻ˠ ə [UNK]
302,269760,/home/peter/.cache/huggingface/datasets/downloads/extracted/cf2f05dbc6d7c83a2ca5f3625f601bff35293b374f8cbe9c8d98e3829f3a201b/10042371251328490804.wav,i measc éachtaí vautier lasmuigh den stiúradh tá stailc ocrais i 1973 i gcoinne cinsireacht pholaitiúil mar a b'fhacthas dó é,"I measc éachtaí Vautier lasmuigh den stiúradh tá stailc ocrais i 1973 i gcoinne cinsireacht pholaitiúil, mar a b'fhacthas dó é.",0,27,Irish,0,i mʲ a sˠ k eː ɾˠ t̪ˠ iː w ʧ ɾˠ l̻ˠ a sˠ mˠ iː dʲ ə nʲ ʃ tʲ uː ɾˠ uː t̪ˠ aː sˠ t̪ˠ a lʲ c o k ɾˠ ə ʃ i [UNK] i ɡ o n̻ʲ ə c i n̻ʲ ʃ ə ɾʲ a x t̪ˠ fˠ o l̻ˠ ə tʲ u lʲ mˠ a ɾˠ ə [UNK] d̪ˠ oː eː
86,155520,/home/peter/.cache/huggingface/datasets/downloads/extracted/cf2f05dbc6d7c83a2ca5f3625f601bff35293b374f8cbe9c8d98e3829f3a201b/10042953992084762134.wav,ba é tuairim pittman nach dtiocfadh feabhas ar dhálaí go dtí am éigin an tseachtain seo chugainn,Ba é tuairim Pittman nach dtiocfadh feabhas ar dhálaí go dtí am éigin an tseachtain seo chugainn.,1,27,Irish,0,bˠ ə eː t̪ˠ ua ɾʲ i mʲ pʲ ʧ t̪ˠ m̥ˠ n̪ˠ n̻ˠ a h dʲ o k uː fʲ au sˠ e ɾʲ ɣ aː l̻ˠ iː ɡ ə dʲ iː a mˠ eː ɟ ə nʲ ə n̻ˠ tʲ a ɾˠ t̪ˠ ə nʲ ʃ o h u ɡ ə n̻ʲ
139,153600,/home/peter/.cache/huggingface/datasets/downloads/extracted/cf2f05dbc6d7c83a2ca5f3625f601bff35293b374f8cbe9c8d98e3829f3a201b/10050763424369857918.wav,d'fhéadfadh uisce a tháinig isteach san aer ón ngaoth agus ó thonnta tionchar a bheith aige ar dhuine tríd é análú,D'fhéadfadh uisce a tháinig isteach san aer ón ngaoth agus ó thonnta tionchar a bheith aige ar dhuine tríd é análú.,0,27,Irish,0,d̪ˠ eː d̪ˠ uː i ʃ c ə ə h aː nʲ ə ɟ i ʃ tʲ a h sˠ ə n̻ˠ eː ɾˠ oː n̻ˠ ŋ iː h ə ɡ ə sˠ oː h o n̻ˠ t̪ˠ ə tʲ o n̻ˠ ə h ə ɾˠ ə vʲ e hʲ e ɟ ə e ɾʲ ɣ i nʲ ə tʲ ɾʲ iː dʲ eː a n̻ˠ a l̻ˠ uː
