audio,transcription
data/idlak/audio/cll_z0001_000.wav,"""Táim go deimhin."" a d'fhreagraíos."
data/idlak/audio/cll_z0001_001.wav,"I dtuairisc, a scríobh cigirí ón Roinn"
data/idlak/audio/cll_z0001_002.wav,bhí Michael D. Higgins riamh neamhspleách.
data/idlak/audio/cll_z0001_008.wav,bhí céim mháistir aige ó Oxford.
data/idlak/audio/cll_z0001_009.wav,"An Giallsa Damer, a scríobh léirmheastóir"
data/idlak/audio/cll_z0001_012.wav,bí ag caint ar chliste.
data/idlak/audio/cll_z0001_013.wav,Cónaidhme ag plé leo faoi thodhchaí an Tuaiscirt.
data/idlak/audio/cll_z0001_014.wav,Ghabh sé tríd an mBruiséil.
data/idlak/audio/cll_z0001_018.wav,Níor scoláire béaloidis é Pedersen.
data/idlak/audio/cll_z0001_019.wav,Bainim taitneamh as na fotheidil.
data/idlak/audio/cll_z0001_022.wav,Crothnaím uaim iad sa gheimhreadh.
data/idlak/audio/cll_z0001_023.wav,Fuair sé suas go leathchéad.
data/idlak/audio/cll_z0001_024.wav,Scéal suimiúil faoi chlog Chill Éinde
data/idlak/audio/cll_z0001_025.wav,Táimid ar thóir ráitis láidir ficsin.
data/idlak/audio/cll_z0001_026.wav,Samhradh fliuch? Téigh ó thuaidh.
data/idlak/audio/cll_z0001_028.wav,Chum sé suas le céad go leith píosa ceoil.
data/idlak/audio/cll_z0001_029.wav,ní mian liom socrú síos.
data/idlak/audio/cll_z0001_030.wav,Sánn mias atá faighte aige ó bhean sa tsráid faoi mo shrón.
data/idlak/audio/cll_z0001_031.wav,Log na Coille mar sprioc.
data/idlak/audio/cll_z0001_032.wav,"bhí Aodh Mac Laifeartaigh, a bhfuil mórchuid déanta aige, ar fheabhas"
data/idlak/audio/cll_z0001_033.wav,Níor luigh siad le ciall ach spreag siad an tsamhlaíocht.
data/idlak/audio/cll_z0001_034.wav,ní hócáid mhór spóirt go géar-iomaíocht.
data/idlak/audio/cll_z0001_035.wav,tá caint ann faoi oscailt oifigiúil.
data/idlak/audio/cll_z0001_036.wav,Celt nó Meamram Páipéar Ríomhaire mar shampla.
data/idlak/audio/cll_z0001_037.wav,Línte as Cuimhní Cinn le Máirtín Ó Direáin.
data/idlak/audio/cll_z0001_038.wav,Bhuf-bhuf! Suzi atá uaim.
data/idlak/audio/cll_z0001_039.wav,Bailiúchán de phrós Gharret Fitzgerald
data/idlak/audio/cll_z0001_040.wav,ár n-arán laethúil tabhair dúinn inniu
data/idlak/audio/cll_z0001_041.wav,Mínigh gurb é an seachtú haois déag aois ghlórmhar
data/idlak/audio/cll_z0001_043.wav,Is doiligh botún chomh bunúsach a thuigbheáil.
data/idlak/audio/cll_z0001_044.wav,cailín eile ann nach raibh uaithi ach barróg ó Des.
