file,phonemes
litiam.wav,lʲ i tʲ ia mˠ
codail.wav,ˈ k o d̪ˠ ə lʲ
caeisiam.wav,k eː ʃ ia mˠ
aspalóid.wav,ˈ a sˠ pˠ ə l̻ˠ o dʲ
ceifileapód.wav,c e fʲ i lʲ ə pˠ o d̪ˠ
scoláireacht.wav,ˈ sˠ k o l̻ˠ a ɾʲ a x t̪ˠ
neamhaird.wav,ˈ nʲ a vˠ ˈ aː ɾˠ dʲ
scéalaíocht.wav,ˈ ʃ c eː l̻ˠ iː a x t̪ˠ
Tuaisceart.wav,ˈ t̪ˠ ua ʃ c ə ɾˠ t̪ˠ
urchomhaireacht.wav,ˈ u ɾˠ ə x oː ə ɾʲ ə ɾˠ t̪ˠ
dúbailt.wav,ˈ d̪ˠ uː bˠ ə l̻ʲ tʲ
neamhshuntasach.wav,nʲ au h ə n̻ˠ t̪ˠ ə sˠ a h
béaldath.wav,ˈ bʲ eː l̻ˠ ˈ d̪ˠ a h
rábálaí.wav,ˈ ɾˠ aː bˠ a l̻ˠ iː
trinse.wav,ˈ tʲ ɾʲ i n̻ʲ ʃ ə
cladhaire.wav,ˈ k l̻ˠ eː ɾʲ ə
bulcaid.wav,ˈ bˠ o l̻ˠ k ə dʲ
innill.wav,ˈ i n̻ʲ ə l̻ʲ
faiteachán.wav,ˈ fˠ a tʲ ə h aː n̻ˠ
bainteach.wav,ˈ bˠ a n̻ʲ tʲ a h
gaosán.wav,ˈ ɡ iː sˠ a n̻ˠ
Cróitis.wav,ˈ k ɾˠ oː tʲ ə ʃ
nuáil.wav,ˈ n̻ˠ uː ˈ aː lʲ
ithir.wav,ˈ i h ə ɾʲ
seodóir.wav,ˈ ʃ oː d̪ˠ o ɾʲ
módúil.wav,mˠ oː d̪ˠ u lʲ
Mearcair.wav,ˈ mʲ a ɾˠ k ə ɾʲ
prionsabáltacht.wav,ˈ pʲ ɾʲ i n̻ˠ sˠ ə bˠ a l̻ˠ t̪ˠ a x t̪ˠ
scólta.wav,ˈ sˠ k oː l̻ˠ t̪ˠ ə
ó.wav,ˈ oː
sícé.wav,ˈ ʃ iː c eː
coirc.wav,ˈ k o ɾʲ c
staire.wav,ˈ sˠ t̪ˠ a ɾʲ ə
codaí.wav,ˈ k o d̪ˠ iː
díghlasáil.wav,dʲ iː j lʲ ə sˠ a lʲ
idirstad.wav,ˈ i dʲ ə ɾʲ ˈ sˠ t̪ˠ a d̪ˠ
moltóireacht.wav,ˈ mˠ o l̻ˠ t̪ˠ o ɾʲ a x t̪ˠ
siúinéir.wav,ˈ ʃ uː nʲ e ɾʲ
ceáfráil.wav,c aː fˠ ɾˠ a lʲ
rapáil.wav,ˈ ɾˠ a pˠ a lʲ
táscaire.wav,ˈ t̪ˠ aː sˠ k ə ɾʲ ə
seanré.wav,ˈ ʃ a n̻ˠ ˈ ɾˠ eː
folúsghlantóir.wav,ˈ fˠ o 
ceardscoil.wav,ˈ c aː ɾˠ d̪ˠ sˠ k o lʲ
trup.wav,ˈ t̪ˠ ɾˠ u pˠ
briogaid.wav,bʲ ɾʲ i ɡ ə dʲ
spaigití.wav,ˈ sˠ pˠ a ɟ i tʲ iː
farasbarr.wav,ˈ fˠ a ɾˠ ə sˠ bˠ a ɾˠ
seachtháirge.wav,ˈ ʃ a h h a ɾʲ ɟ ə
maoiniúchán.wav,ˈ mˠ iː nʲ uː h aː n̻ˠ
seirbhísithe.wav,ˈ ʃ e ɾʲ ə vʲ iː ʃ ə h ə
próis.wav,ˈ pˠ ɾˠ oː ʃ
liteagraf.wav,ˈ l̻ʲ i tʲ ə ɡ ɾˠ a fˠ
bod.wav,ˈ bˠ o d̪ˠ
aontumhach.wav,iː n̻ˠ t̪ˠ uː a h
óstlann.wav,ˈ oː sˠ t̪ˠ l̻ˠ ə n̻ˠ
crithfhuacht.wav,ˈ c ɾʲ i h uˑə ɾˠ t̪ˠ
snasán.wav,ˈ sˠ n̻ˠ a sˠ a n̻ˠ
aineolas.wav,ˈ a nʲ o l̻ˠ ə sˠ
loighic.wav,ˈ l̻ˠ ai c
ceantair.wav,ˈ c a n̻ˠ t̪ˠ ə iː
plútacratachas.wav,ˈ pˠ l̻ˠ uː t̪ˠ ə k ɾˠ a t̪ˠ a h ə sˠ
